Timestamp;ID;IDhex;Data
60.690;1795;703;76 50 0C 08 04 00 00 00
61.033;1392;570;00 00 00 00
61.399;608;260;00 01 00 00 92 00 00 01
61.705;1027;403;07 01 00 00 00 00
62.031;1583;62F;7D CF 1C 02 4D 00 10 1F
62.340;1583;62F;7D CF 1C 02 4D 00 10 1F
62.710;357;165;00
63.033;1031;407;0A 01 00 00 00 00
63.349;1026;402;03 01 00 00 00 00
63.732;354;162;00 00
64.052;1392;570;00 00 00 00
64.383;864;360;00 0C 87 00 00 00 00 00
64.714;548;224;00 00 7F 00 00 7F 00 1F
65.124;1583;62F;7D CF 1C 02 4D 00 10 1F
65.463;613;265;06 08 00 00 00 00 00 00
65.808;356;164;80 00 02 00 00 00 00 00
66.154;548;224;00 00 7F 00 00 7F 00 1F
66.563;354;162;00 00
66.920;805;325;FF 7F 00 00 78 22 00 0F
67.277;613;265;06 08 00 00 00 00 00 00
67.646;611;263;90 80 10 00
68.103;1026;402;03 11 00 00 00 00
68.407;546;222;65 0C 60 87 00 00 00 00
68.710;1025;401;02 11 00 00 00 00
69.082;1041;411;00 11 00 00 00 00
69.391;1034;40A;0B 11 00 00 00 00
69.702;548;224;00 00 7F 00 00 7F 00 1F
70.008;1026;402;03 11 00 00 00 00
70.409;548;224;00 00 7F 00 00 7F 00 1F
70.732;1036;40C;11 31 00 00 00 00
166.004;1041;411;11 02 10 01 00 00
166.326;805;325;FF 7F 00 00 78 20 00 0F
166.659;548;224;00 00 7F 00 00 7F 00 1F
166.994;1026;402;03 01 00 00 00 00
167.396;357;165;00
167.746;354;162;00 00
168.093;548;224;00 00 7F 00 00 7F 00 1F
168.496;546;222;66 0C 60 87 00 00 00 00
168.856;548;224;00 00 7F 00 00 7F 00 1F
169.225;1583;62F;7D CF 1C 02 4D 00 10 1F
169.585;1027;403;07 01 00 00 00 00
170.017;613;265;00 08 00 00 00 00 00 02
170.381;805;325;FF 7F 00 00 78 22 00 0F
170.767;1583;62F;7D CF 1C 02 4D 00 10 1F
171.084;1025;401;02 01 00 00 00 00
171.460;546;222;66 0C 60 87 00 00 00 00
171.794;1041;411;00 11 00 00 00 00
172.108;1792;700;15 51 14 12 04 00 00 00
172.438;1317;525;FF FF 0F 00 00 00 00 01
172.825;1583;62F;7D CF 1C 02 4D 00 10 1F
173.159;612;264;01 08 0C 00 00 00 00 02
173.500;1024;400;01 11 00 00 00 00
173.909;546;222;66 0C 60 87 00 00 00 00
174.247;548;224;00 00 7F 00 00 7F 00 1F
174.583;1583;62F;7D CF 1C 02 4D 00 10 1F
174.942;1031;407;0A 11 00 00 00 00
175.365;1795;703;76 50 0C 98 04 00 00 00
175.725;1027;403;07 11 00 00 00 00
176.071;611;263;B0 80 30 00
176.446;1583;62F;7D CF 1C 02 4D 00 10 1F
176.865;1024;400;01 11 00 00 00 00
177.222;1024;400;01 11 00 00 00 00
177.598;1041;411;00 01 00 00 00 00
177.968;357;165;01
178.340;1035;40B;0C 01 00 00 00 00
178.654;548;224;00 00 7F 00 00 7F 00 1F
178.978;548;224;00 00 00 51 00 7F 15 10
179.411;1025;401;02 01 00 00 00 00
179.767;1583;62F;7D CF 1C 02 4D 00 10 1F
180.091;1025;401;02 01 00 00 00 00
180.449;546;222;67 0C 60 87 00 00 00 00
180.840;1036;40C;11 01 00 00 00 00
181.176;1583;62F;7D CF 1C 02 4D 00 10 1F
181.516;1034;40A;0B 01 00 00 00 00
181.867;805;325;00 00 CC 80 78 22 00 04
182.298;1026;402;03 01 00 00 00 00
182.641;864;360;00 0C 87 00 00 00 00 00
182.994;1025;401;02 01 00 00 00 00
183.364;357;165;47
183.788;1036;40C;11 01 00 00 00 00
184.147;357;165;47
184.516;548;224;00 00 00 51 00 00 15 00
184.946;613;265;00 08 00 00 00 00 00 02
185.353;804;324;00 40 40 00
185.670;356;164;80 01 06 00 00 00 00 00
185.998;1031;407;0A 01 00 00 00 00
186.376;613;265;00 08 00 00 00 00 00 02
186.688;357;165;47
187.008;546;222;67 0C 60 87 00 00 00 00
187.365;1313;521;2E 04 1E 00 05 05 6D 00
187.812;1034;40A;0B 01 00 00 00 00
188.127;1121;461;00 00 00 17 1B 80 00 00
188.461;548;224;00 00 00 51 00 00 15 00
188.788;1025;401;02 01 00 00 00 00
189.160;357;165;47
189.489;1036;40C;11 01 00 00 00 00
189.831;1034;40A;0B 01 00 00 00 00
190.234;611;263;80 80 00 00
190.564;612;264;01 08 0C 00 00 00 00 02
190.910;1025;401;02 01 00 00 00 00
191.273;356;164;80 01 06 00 00 00 00 00
191.694;1122;462;00 00 11 06 37 89 11 00
192.041;1036;40C;11 01 00 00 00 00
192.399;611;263;E0 80 60 00
192.779;357;165;00
193.137;1799;707;15 50 14 14 04 00 00 00
193.452;611;263;90 80 10 00
193.777;1583;62F;7D CF 1C 02 4D 00 10 1F
194.081;357;165;00
194.456;546;222;67 0C 60 87 00 00 00 00
194.772;611;263;60 80 E0 00
195.098;1031;407;0A 01 00 00 00 00
195.479;546;222;67 0C 60 87 00 00 00 00
195.809;548;224;00 00 00 52 00 00 15 1F
196.150;1121;461;00 00 00 17 1B 80 00 00
196.479;1583;62F;7D CF 1C 02 4D 00 10 1F
196.871;613;265;00 08 00 00 00 00 00 02
197.209;1034;40A;0B 11 00 00 00 00
197.565;805;325;00 00 CC 80 78 22 00 0F
197.913;1027;403;07 01 00 00 00 00
198.316;356;164;80 00 00 00 00 00 00 00
198.725;805;325;00 00 CC 80 78 22 00 0F
199.079;1024;400;01 11 00 00 00 00
199.436;611;263;40 80 C0 00
199.896;805;325;00 00 CC 80 78 22 00 0F
200.211;1802;70A;29 51 1E 0A 03 00 00 00
200.518;1803;70B;16 50 16 D4 05 50 00 01
200.881;548;224;00 00 00 52 00 00 15 1F
201.189;1027;403;07 01 00 00 00 00
201.538;1026;402;03 01 00 00 00 00
201.853;611;263;D0 80 50 00
202.232;1583;62F;7D CF 1C 02 4D 00 10 1F
202.571;548;224;00 00 00 52 00 00 15 1F
202.885;357;165;00
203.219;546;222;67 0C 60 87 00 00 00 00
203.602;1803;70B;16 50 16 D4 05 50 00 01
203.954;864;360;00 0C 87 00 00 00 00 00
204.298;1583;62F;7D CF 1C 02 4D 00 10 1F
204.642;546;222;67 0C 60 87 00 00 00 00
