Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26458000,00000263,0,R,0,4,10,80,90,00,,,,
26682000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
26898000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
27645000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
27932000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
28151999,00000165,0,R,0,1,00,,,,,,,
28393000,00000164,0,R,0,8,80,00,00,00,00,00,00,00
28683000,00000263,0,R,0,4,70,80,F0,00,,,,
28916999,00000260,0,R,0,8,00,01,00,00,92,00,00,00
29159000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
29416999,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
29733000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
29980000,00000165,0,R,0,1,00,,,,,,,
30787000,00000401,0,R,0,6,02,01,00,00,00,00,,
31058999,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
31395000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
31601000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
31808999,0000070C,0,R,0,8,10,52,19,46,07,00,00,00
32059000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
32300000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
32498000,0000040C,0,R,0,6,11,11,00,00,00,00,,
32692000,00000263,0,R,0,4,00,80,80,00,,,,
32969000,00000264,0,R,0,8,06,08,01,00,00,00,00,00
33771000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
33995000,00000521,0,R,0,8,1F,3F,3F,7F,0F,1F,FF,00
34205000,00000263,0,R,0,4,F0,80,70,00,,,,
34483000,00000263,0,R,0,4,10,80,90,00,,,,
34703000,00000224,0,R,0,8,00,00,00,6E,00,00,1B,1F
34929000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
35165000,00000165,0,R,0,1,00,,,,,,,
35444000,0000040C,0,R,0,6,11,11,00,00,00,00,,
35681000,00000222,0,R,0,8,CF,00,3A,8A,00,00,00,00
35920000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
36777000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
37081000,00000521,0,R,0,8,1F,3F,3F,7F,0F,1F,FF,00
37357000,00000325,0,R,0,8,00,00,00,00,78,28,00,0F
37549000,00000525,0,R,0,8,24,F8,00,00,00,00,00,01
37812000,00000402,0,R,0,6,03,31,00,00,00,00,,
40691000,00000411,0,R,0,6,11,02,08,00,00,00,,
41586000,00000165,0,R,0,1,00,,,,,,,
41863000,00000265,0,R,0,8,06,08,01,00,00,00,00,00
42205000,00000265,0,R,0,8,06,08,01,00,00,00,00,00
42400000,00000265,0,R,0,8,06,08,01,00,00,00,00,00
42605000,00000164,0,R,0,8,80,00,02,00,00,00,00,00
42802000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
43050000,00000400,0,R,0,6,01,01,00,00,00,00,,
43251000,00000265,0,R,0,8,06,08,01,00,00,00,00,00
43460000,00000401,0,R,0,6,02,01,00,00,00,00,,
43661000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
44601000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
44821000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
45035000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
45256000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
45541000,00000411,0,R,0,6,00,01,00,00,00,00,,
45763000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
45999000,00000401,0,R,0,6,02,11,00,00,00,00,,
46278000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
46529000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
46779000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
47665000,00000264,0,R,0,8,06,08,01,00,00,00,00,00
47972000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
48238000,00000407,0,R,0,6,0A,11,00,00,00,00,,
48445000,00000401,0,R,0,6,02,11,00,00,00,00,,
48635000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
48894000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
49104000,00000164,0,R,0,8,80,00,02,00,00,00,00,00
49311000,00000263,0,R,0,4,80,80,00,00,,,,
49517000,00000263,0,R,0,4,A0,80,20,00,,,,
49788000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
50657000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
50885000,00000264,0,R,0,8,06,08,01,00,00,00,00,00
51160000,00000162,0,R,0,2,00,00,,,,,,
51385000,0000040C,0,R,0,6,11,31,00,00,00,00,,
70415000,00000411,0,R,0,6,11,02,10,01,00,00,,
71282000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
71529000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
71762000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
72051000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
72305000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
72547000,00000401,0,R,0,6,02,01,00,00,00,00,,
72805000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
73098000,00000403,0,R,0,6,07,01,00,00,00,00,,
73339000,00000400,0,R,0,6,01,01,00,00,00,00,,
73589000,00000263,0,R,0,4,A0,80,20,00,,,,
74495000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
74749000,00000403,0,R,0,6,07,01,00,00,00,00,,
74953000,00000400,0,R,0,6,01,01,00,00,00,00,,
75155000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
75420000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
75637000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
75870000,0000070B,0,R,0,8,16,50,16,D4,05,50,00,01
76136000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
76416000,00000263,0,R,0,4,60,80,E0,00,,,,
76644000,00000165,0,R,0,1,00,,,,,,,
77478000,00000263,0,R,0,4,B0,80,30,00,,,,
77724000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
78008000,00000222,0,R,0,8,D0,00,3A,8A,00,00,00,00
78256000,00000411,0,R,0,6,00,11,00,00,00,00,,
78505000,0000070A,0,R,0,8,29,51,1E,1A,03,00,00,00
78744000,00000401,0,R,0,6,02,11,00,00,00,00,,
79062000,00000325,0,R,0,8,FF,7F,00,00,78,28,00,0F
79311000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
79563000,00000400,0,R,0,6,01,11,00,00,00,00,,
79888000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
80753000,00000165,0,R,0,1,00,,,,,,,
80953000,0000040C,0,R,0,6,11,31,00,00,00,00,,
118129000,00000264,0,R,0,8,00,08,01,00,00,00,00,02
119025000,00000402,0,R,0,6,03,02,00,00,00,00,,
119284000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
119594000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
119856000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
120158000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
120364000,00000263,0,R,0,4,70,80,F0,00,,,,
120634000,0000070B,0,R,0,8,16,50,16,D4,05,50,00,01
120833000,00000264,0,R,0,8,01,08,0D,00,00,00,00,02
121055000,00000411,0,R,0,6,00,01,00,00,00,00,,
121273000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
122186000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
122408000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
122636000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
122929000,00000402,0,R,0,6,03,01,00,00,00,00,,
123160000,00000263,0,R,0,4,20,80,A0,00,,,,
123403000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
123673000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
124002000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
124247000,0000070C,0,R,0,8,10,52,19,46,07,00,00,00
124506000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
125425000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
