Timestamp;ID;IDhex;Data
0.178;356;164;80 01 06 00 00 00 00 00
0.509;1027;403;07 01 00 00 00 00
0.696;1025;401;02 01 00 00 00 00
0.929;1795;703;76 50 0C 18 04 00 00 00
1.107;864;360;00 00 8A 00 00 00 00 00
1.291;1034;40A;0B 01 00 00 00 00
1.534;1024;400;01 01 00 00 00 00
1.722;1031;407;0A 01 00 00 00 00
1.915;357;165;47
2.170;1314;522;00 00 00 00 00 00 00 00
2.370;613;265;00 08 01 00 00 00 00 02
2.776;548;224;00 00 00 6E 00 00 1B 00
3.072;1804;70C;10 52 19 06 07 00 00 00
3.225;805;325;00 00 00 00 78 28 00 04
3.417;356;164;80 01 06 00 00 00 00 00
3.668;546;222;CF 00 3A 8A 00 00 00 00
3.866;864;360;00 00 8A 00 00 00 00 00
4.110;548;224;00 00 00 6E 00 00 1B 00
4.330;1036;40C;11 01 00 00 00 00
4.591;356;164;80 01 06 00 00 00 00 00
4.807;804;324;00 40 F0 B0
5.230;1034;40A;0B 01 00 00 00 00
5.447;805;325;00 00 00 00 78 28 00 04
5.717;611;263;00 80 80 00
5.938;357;165;47
6.156;354;162;00 00
6.383;548;224;00 00 00 6E 00 00 1B 00
6.691;1583;62F;7D CF 1C 02 4D 00 10 1F
6.924;1795;703;76 50 0C 18 04 00 00 00
7.165;864;360;00 00 8A 00 00 00 00 00
7.471;548;224;00 00 00 6E 00 00 1B 00
7.961;804;324;00 40 B0 F0
8.250;548;224;00 00 00 6E 00 00 1B 00
8.445;1036;40C;11 01 00 00 00 00
8.682;548;224;00 00 00 6E 00 00 1B 00
8.874;1795;703;76 50 0C 18 04 00 00 00
9.068;1027;403;07 01 00 00 00 00
9.267;1583;62F;7D CF 1C 02 4D 00 10 1F
9.529;613;265;00 08 01 00 00 00 00 02
9.735;356;164;80 01 06 00 00 00 00 00
9.961;1121;461;00 00 00 17 1B 80 00 00
10.474;548;224;00 00 00 6E 00 00 1B 00
10.756;613;265;00 08 01 00 00 00 00 02
10.998;1802;70A;29 51 1E 1A 03 00 00 08
11.244;548;224;00 00 00 6E 00 00 1B 00
11.531;546;222;CF 00 3A 8A 00 00 00 00
11.767;1583;62F;7D CF 1C 02 4D 00 10 1F
12.009;548;224;00 00 00 6E 00 00 1B 00
12.248;804;324;00 40 10 50
12.546;805;325;00 00 00 00 78 28 00 04
12.793;1317;525;24 F8 00 00 00 00 00 00
13.386;1035;40B;0C 01 00 00 00 00
13.654;548;224;00 00 00 6E 00 00 1B 00
13.901;1036;40C;11 01 00 00 00 00
14.090;357;165;47
14.290;1036;40C;11 01 00 00 00 00
14.498;1026;402;03 01 00 00 00 00
14.773;1583;62F;7D CF 1C 02 4D 00 10 1F
14.988;1583;62F;7D CF 1C 02 4D 00 10 1F
15.214;613;265;00 08 01 00 00 00 00 02
15.487;546;222;CF 00 3A 8A 00 00 00 00
16.086;1314;522;00 00 00 00 00 00 00 00
16.306;1031;407;0A 01 00 00 00 00
16.529;1024;400;01 01 00 00 00 00
16.819;356;164;80 00 06 00 00 00 00 00
17.053;1026;402;03 01 00 00 00 00
17.292;1036;40C;11 01 00 00 00 00
17.531;1027;403;07 01 00 00 00 00
17.826;1041;411;00 01 00 00 00 00
18.084;546;222;CF 00 3A 8A 00 00 00 00
18.354;1026;402;03 01 00 00 00 00
19.017;805;325;00 00 00 00 78 28 00 0F
19.376;1031;407;0A 01 00 00 00 00
19.565;356;164;80 00 06 00 00 00 00 00
19.769;1583;62F;7D CF 1C 02 4D 00 10 1F
20.023;1804;70C;10 52 19 46 07 00 00 00
20.230;611;263;10 80 90 00
20.433;805;325;00 00 00 00 78 28 00 0F
20.643;805;325;00 00 00 00 78 28 00 0F
20.918;1795;703;76 50 0C 18 04 00 00 00
21.158;1025;401;02 01 00 00 00 00
21.851;611;263;D0 80 50 00
22.086;1027;403;07 11 00 00 00 00
22.378;611;263;60 80 E0 00
22.649;611;263;90 80 10 00
22.886;1795;703;76 50 0C 18 04 00 00 00
23.135;1583;62F;7D CF 1C 02 4D 00 10 1F
23.435;864;360;00 00 8A 00 00 00 00 00
23.675;356;164;80 00 00 00 00 00 00 00
23.914;611;263;60 80 E0 00
24.214;357;165;00
24.945;548;224;00 00 00 6E 00 00 1B 1F
25.194;356;164;80 00 00 00 00 00 00 00
25.470;611;263;50 80 D0 00
25.744;1025;401;02 01 00 00 00 00
25.947;548;224;00 00 00 6E 00 00 1B 1F
26.154;1313;521;2E 16 1E 00 01 05 8D 00
26.368;548;224;00 00 00 6E 00 00 1B 1F
26.636;611;263;10 80 90 00
26.860;805;325;00 00 00 00 78 28 00 0F
27.076;548;224;00 00 00 6E 00 00 1B 1F
27.823;1583;62F;7D CF 1C 02 4D 00 10 1F
28.110;356;164;80 00 00 00 00 00 00 00
28.330;357;165;00
28.571;356;164;80 00 00 00 00 00 00 00
28.861;611;263;70 80 F0 00
29.095;608;260;00 01 00 00 92 00 00 00
29.337;1034;40A;0B 11 00 00 00 00
29.595;805;325;00 00 00 00 78 28 00 0F
29.911;1794;702;76 50 0C 18 04 00 00 00
30.158;357;165;00
30.965;1025;401;02 01 00 00 00 00
31.237;548;224;00 00 00 6E 00 00 1B 1F
31.573;546;222;CF 00 3A 8A 00 00 00 00
31.779;1794;702;76 50 0C 18 04 00 00 00
31.987;1804;70C;10 52 19 46 07 00 00 00
32.237;1034;40A;0B 11 00 00 00 00
32.478;805;325;00 00 00 00 78 28 00 0F
32.676;1036;40C;11 11 00 00 00 00
32.870;611;263;00 80 80 00
33.147;612;264;06 08 01 00 00 00 00 00
33.949;1583;62F;7D CF 1C 02 4D 00 10 1F
34.173;1313;521;1F 3F 3F 7F 0F 1F FF 00
34.383;611;263;F0 80 70 00
34.661;611;263;10 80 90 00
34.881;548;224;00 00 00 6E 00 00 1B 1F
35.107;1583;62F;7D CF 1C 02 4D 00 10 1F
35.343;357;165;00
35.622;1036;40C;11 11 00 00 00 00
35.859;546;222;CF 00 3A 8A 00 00 00 00
36.098;1578;62A;5A 5A 09 35 53 37 77 32
36.955;1583;62F;7D CF 1C 02 4D 00 10 1F
37.259;1313;521;1F 3F 3F 7F 0F 1F FF 00
37.535;805;325;00 00 00 00 78 28 00 0F
37.727;1317;525;24 F8 00 00 00 00 00 01
37.990;1026;402;03 31 00 00 00 00
40.869;1041;411;11 02 08 00 00 00
41.764;357;165;00
42.041;613;265;06 08 01 00 00 00 00 00
42.383;613;265;06 08 01 00 00 00 00 00
42.578;613;265;06 08 01 00 00 00 00 00
42.783;356;164;80 00 02 00 00 00 00 00
42.980;1578;62A;5A 5A 09 35 53 37 77 32
43.228;1024;400;01 01 00 00 00 00
43.429;613;265;06 08 01 00 00 00 00 00
43.638;1025;401;02 01 00 00 00 00
43.839;1034;40A;0B 01 00 00 00 00
44.779;1795;703;76 50 0C 18 04 00 00 00
44.999;1578;62A;5A 5A 09 35 53 37 77 32
45.213;548;224;00 00 7F 00 00 7F 00 1F
45.434;548;224;00 00 7F 00 00 7F 00 1F
45.719;1041;411;00 01 00 00 00 00
45.941;1034;40A;0B 11 00 00 00 00
46.177;1025;401;02 11 00 00 00 00
46.456;1035;40B;0C 01 00 00 00 00
46.707;548;224;00 00 7F 00 00 7F 00 1F
46.957;548;224;00 00 7F 00 00 7F 00 1F
47.843;612;264;06 08 01 00 00 00 00 00
48.150;1035;40B;0C 01 00 00 00 00
48.416;1031;407;0A 11 00 00 00 00
48.623;1025;401;02 11 00 00 00 00
48.813;1034;40A;0B 11 00 00 00 00
49.072;1583;62F;7D CF 1C 02 4D 00 10 1F
49.282;356;164;80 00 02 00 00 00 00 00
49.489;611;263;80 80 00 00
49.695;611;263;A0 80 20 00
49.966;548;224;00 00 7F 00 00 7F 00 1F
50.835;864;360;00 00 8A 00 00 00 00 00
51.063;612;264;06 08 01 00 00 00 00 00
51.338;354;162;00 00
51.563;1036;40C;11 31 00 00 00 00
70.593;1041;411;11 02 10 01 00 00
71.460;548;224;00 00 7F 00 00 7F 00 1F
71.707;613;265;00 08 01 00 00 00 00 02
71.940;356;164;80 00 06 00 00 00 00 00
72.229;548;224;00 00 7F 00 00 7F 00 1F
72.483;1034;40A;0B 01 00 00 00 00
72.725;1025;401;02 01 00 00 00 00
72.983;1317;525;FF FF 0F 00 00 00 00 01
73.276;1027;403;07 01 00 00 00 00
73.517;1024;400;01 01 00 00 00 00
73.767;611;263;A0 80 20 00
74.673;1583;62F;7D CF 1C 02 4D 00 10 1F
74.927;1027;403;07 01 00 00 00 00
75.131;1024;400;01 01 00 00 00 00
75.333;548;224;00 00 7F 00 00 7F 00 1F
75.598;548;224;00 00 7F 00 00 7F 00 1F
75.815;1583;62F;7D CF 1C 02 4D 00 10 1F
76.048;1803;70B;16 50 16 D4 05 50 00 01
76.314;548;224;00 00 7F 00 00 7F 00 1F
76.594;611;263;60 80 E0 00
76.822;357;165;00
77.656;611;263;B0 80 30 00
77.902;1583;62F;7D CF 1C 02 4D 00 10 1F
78.186;546;222;D0 00 3A 8A 00 00 00 00
78.434;1041;411;00 11 00 00 00 00
78.683;1802;70A;29 51 1E 1A 03 00 00 00
78.922;1025;401;02 11 00 00 00 00
79.240;805;325;FF 7F 00 00 78 28 00 0F
79.489;548;224;00 00 7F 00 00 7F 00 1F
79.741;1024;400;01 11 00 00 00 00
